"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
126,"2018-2019","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Infrastructure Cess ",""
127,"2018-2019","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess) ",113000.0
128,"2018-2019","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Coal & Coke ",""
129,"2018-2019","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Rubber ",""
130,"2018-2019","045","Budget","Union Excise Duties","Cesses administered by Other Departments","Prevention & Control of ( Air & Water )Pollution ",""
131,"2018-2019","045","Budget","Union Excise Duties","Cesses administered by Other Departments","Prevention & Control of ( Air & Water )Pollution Receipts netted against expenditure",""
132,"2018-2019","045","Budget","Union Excise Duties","Cesses administered by Other Departments","Research and Development ",""
133,"2018-2019","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Beedi Fund ",""
134,"2018-2019","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Cess Collection on Textiles & Textile Machinery ",""
135,"2018-2019","044","Budget","Service Tax","Collections","Cess Collection on Textiles & Textile Machinery ",""
136,"2018-2019","044","Budget","Service Tax","Education Cess","Cess Collection on Textiles & Textile Machinery ",""
137,"2018-2019","044","Budget","Service Tax","Secondary & Higher Education Cess","Cess Collection on Textiles & Textile Machinery ",""
138,"2018-2019","044","Budget","Service Tax","Swachh Bharat Cess","Cess Collection on Textiles & Textile Machinery ",""
139,"2018-2019","044","Budget","Service Tax","Krishi Kalyan Cess","Cess Collection on Textiles & Textile Machinery ",""
140,"2018-2019","040","Budget","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Cess Collection on Textiles & Textile Machinery ",""
141,"2018-2019","045","Budget","Other Taxes and Duties on Commodities and Services","Other Taxes","Cess Collection on Textiles & Textile Machinery ",""
142,"2018-2019","005","Budget","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Cess Collection on Textiles & Textile Machinery ",603900.0
143,"2018-2019","008","Budget","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Cess Collection on Textiles & Textile Machinery ",50000.0
144,"2018-2019","009","Budget","Goods and Services Tax (GST)","GST Compensation Cess","Cess Collection on Textiles & Textile Machinery ",90000.0
145,"2018-2019","710","Budget","Taxes of Union Territories","Land Revenue","Cess Collection on Textiles & Textile Machinery ",8.75
146,"2018-2019","710","Budget","Taxes of Union Territories","Stamps and Registration","Cess Collection on Textiles & Textile Machinery ",225.8
147,"2018-2019","710","Budget","Taxes of Union Territories","State Excise Duties","Cess Collection on Textiles & Textile Machinery ",1000.0
148,"2018-2019","710","Budget","Taxes of Union Territories","Sales Tax","Cess Collection on Textiles & Textile Machinery ",1165.0
149,"2018-2019","710","Budget","Taxes of Union Territories","Taxes on Vehicles","Cess Collection on Textiles & Textile Machinery ",256.0
150,"2018-2019","710","Budget","Taxes of Union Territories","Taxes on goods and passengers","Cess Collection on Textiles & Textile Machinery ",12.0
151,"2018-2019","710","Budget","Taxes of Union Territories","Taxes and Duties on Electricity","Cess Collection on Textiles & Textile Machinery ",35.0
152,"2018-2019","710","Budget","Taxes of Union Territories","Other Taxes and Duties","Cess Collection on Textiles & Textile Machinery ",9.01
153,"2018-2019","007","Budget","Taxes of Union Territories","Union Territories  Goods and Services Tax (UTGST)","Cess Collection on Textiles & Textile Machinery ",2530.0
154,"2018-2019","037","Budget","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Customs)","Cess Collection on Textiles & Textile Machinery ",-750.0
155,"2018-2019","038","Budget","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Union Excise)","Cess Collection on Textiles & Textile Machinery ",-1750.0
156,"2018-2019","020","Revised","Corporation Tax","Collections","None",575795.77
157,"2018-2019","020","Revised","Corporation Tax","Surcharge","None",64777.02
158,"2018-2019","020","Revised","Corporation Tax","Education Cess / Health and Education Cess","None",30427.21
159,"2018-2019","020","Revised","Corporation Tax","Penalties","None",""
160,"2018-2019","020","Revised","Corporation Tax","Interest Recoveries","None",""
161,"2018-2019","020","Revised","Corporation Tax","Tax on Distributed Profits of Domestic Companies","None",""
162,"2018-2019","020","Revised","Corporation Tax","Tax on Distributed Income to Unit Holders","None",""
163,"2018-2019","020","Revised","Corporation Tax","Miscellaneous Receipts","None",""
164,"2018-2019","021","Revised","Taxes on Income","Collections","None",461182.33
165,"2018-2019","021","Revised","Taxes on Income","Surcharge","None",36894.59
166,"2018-2019","021","Revised","Taxes on Income","Health and Education Cess","None",19923.08
167,"2018-2019","021","Revised","Taxes on Income","Penalties","None",""
168,"2018-2019","021","Revised","Taxes on Income","Interest Recoveries","None",""
169,"2018-2019","021","Revised","Taxes on Income","Tax Under Black Money","None",""
170,"2018-2019","021","Revised","Taxes on Income","Miscellaneous Receipts","None",""
171,"2018-2019","036","Revised","Taxes on Income","Banking Transaction Tax (BCTT)","None",""
172,"2018-2019","034","Revised","Taxes on Income","Security Transaction Tax","None",11000.0
173,"2018-2019","023","Revised","Taxes on Income","Hotel Receipts Tax","None",""
174,"2018-2019","024","Revised","Taxes on Income","Interest Tax","None",""
175,"2018-2019","026","Revised","Taxes on Income","Fringe Benefit Tax","None",""
176,"2018-2019","028","Revised","Taxes on Income","Other Taxes on Income and Expenditure","None",""
177,"2018-2019","031","Revised","Wealth Tax","Estate Duty","None",""
178,"2018-2019","032","Revised","Wealth Tax","Taxes on Wealth","None",""
179,"2018-2019","037","Revised","Customs","Import Duties","Basic Duties ",115238.0
180,"2018-2019","037","Revised","Customs","Import Duties","Additional Duty on Customs(CVD) ",1500.0
181,"2018-2019","037","Revised","Customs","Import Duties","Special CV Duty ",50.0
182,"2018-2019","037","Revised","Customs","Import Duties","Additional Duty of Custom on High Speed Diesel Oil ",3.0
183,"2018-2019","037","Revised","Customs","Import Duties","National Calamity Contingent Duty ",515.0
184,"2018-2019","037","Revised","Customs","Import Duties","Education Cess ",38.0
185,"2018-2019","037","Revised","Customs","Import Duties","Secondary and Higher Education Cess ",14.0
186,"2018-2019","037","Revised","Customs","Import Duties","Social Welfare Surcharge ",9000.0
187,"2018-2019","037","Revised","Customs","Export Duty","Social Welfare Surcharge ",200.0
188,"2018-2019","037","Revised","Customs","Cesses on Exports","Social Welfare Surcharge ",280.0
189,"2018-2019","037","Revised","Customs","Other Receipts","Social Welfare Surcharge ",3200.0
190,"2018-2019","038","Revised","Union Excise Duties","Basic Excise Duties","Social Welfare Surcharge ",93777.0
191,"2018-2019","038","Revised","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Social Welfare Surcharge ",""
192,"2018-2019","038","Revised","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Social Welfare Surcharge ",""
193,"2018-2019","038","Revised","Union Excise Duties","National Calamity Contingent Duty","Social Welfare Surcharge ",1800.0
194,"2018-2019","038","Revised","Union Excise Duties","Special Additional Duty of Excise on Motor Spirit","Social Welfare Surcharge ",32000.0
195,"2018-2019","038","Revised","Union Excise Duties","Surcharge on Pan Masala and Tobacco Products","Social Welfare Surcharge ",0.18
196,"2018-2019","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Education Cess ",2.75
197,"2018-2019","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",1.41
198,"2018-2019","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Crude Oil ",19000.0
199,"2018-2019","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",0.02
200,"2018-2019","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",8.35
201,"2018-2019","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",0.08
202,"2018-2019","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",0.5
203,"2018-2019","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Clean Environment Cess (Erstwhile-Clean Energy Cess) ",2.83
204,"2018-2019","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Infrastructure Cess ",6.88
205,"2018-2019","038","Revised","Union Excise Duties","Cesses administrated by Department of Revenue","Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess) ",113000.0
206,"2018-2019","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Coal & Coke ",2.0
207,"2018-2019","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Rubber ",10.0
208,"2018-2019","045","Revised","Union Excise Duties","Cesses administered by Other Departments","Prevention & Control of ( Air & Water )Pollution ",0.2
209,"2018-2019","045","Revised","Union Excise Duties","Cesses administered by Other Departments","Prevention & Control of ( Air & Water )Pollution Receipts netted against expenditure",""
210,"2018-2019","045","Revised","Union Excise Duties","Cesses administered by Other Departments","Research and Development ",""
211,"2018-2019","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Beedi Fund ",""
212,"2018-2019","038","Revised","Union Excise Duties","Cesses administered by Other Departments","Cess Collection on Textiles & Textile Machinery ",""
213,"2018-2019","044","Revised","Service Tax","Collections","Cess Collection on Textiles & Textile Machinery ",8655.0
214,"2018-2019","044","Revised","Service Tax","Education Cess","Cess Collection on Textiles & Textile Machinery ",12.0
215,"2018-2019","044","Revised","Service Tax","Secondary & Higher Education Cess","Cess Collection on Textiles & Textile Machinery ",6.0
216,"2018-2019","044","Revised","Service Tax","Swachh Bharat Cess","Cess Collection on Textiles & Textile Machinery ",240.0
217,"2018-2019","044","Revised","Service Tax","Krishi Kalyan Cess","Cess Collection on Textiles & Textile Machinery ",370.0
218,"2018-2019","040","Revised","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Cess Collection on Textiles & Textile Machinery ",""
219,"2018-2019","045","Revised","Other Taxes and Duties on Commodities and Services","Other Taxes","Cess Collection on Textiles & Textile Machinery ",""
220,"2018-2019","005","Revised","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Cess Collection on Textiles & Textile Machinery ",503900.0
221,"2018-2019","008","Revised","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Cess Collection on Textiles & Textile Machinery ",50000.0
222,"2018-2019","009","Revised","Goods and Services Tax (GST)","GST Compensation Cess","Cess Collection on Textiles & Textile Machinery ",90000.0
223,"2018-2019","710","Revised","Taxes of Union Territories","Land Revenue","Cess Collection on Textiles & Textile Machinery ",10.0
224,"2018-2019","710","Revised","Taxes of Union Territories","Stamps and Registration","Cess Collection on Textiles & Textile Machinery ",224.0
225,"2018-2019","710","Revised","Taxes of Union Territories","State Excise Duties","Cess Collection on Textiles & Textile Machinery ",1059.0
226,"2018-2019","710","Revised","Taxes of Union Territories","Sales Tax","Cess Collection on Textiles & Textile Machinery ",1235.0
227,"2018-2019","710","Revised","Taxes of Union Territories","Taxes on Vehicles","Cess Collection on Textiles & Textile Machinery ",236.0
228,"2018-2019","710","Revised","Taxes of Union Territories","Taxes on goods and passengers","Cess Collection on Textiles & Textile Machinery ",12.0
229,"2018-2019","710","Revised","Taxes of Union Territories","Taxes and Duties on Electricity","Cess Collection on Textiles & Textile Machinery ",36.0
230,"2018-2019","710","Revised","Taxes of Union Territories","Other Taxes and Duties","Cess Collection on Textiles & Textile Machinery ",""
231,"2018-2019","007","Revised","Taxes of Union Territories","Union Territories  Goods and Services Tax (UTGST)","Cess Collection on Textiles & Textile Machinery ",2530.0
232,"2018-2019","037","Revised","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Customs)","Cess Collection on Textiles & Textile Machinery ",-515.0
233,"2018-2019","038","Revised","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Union Excise)","Cess Collection on Textiles & Textile Machinery ",-1800.0
234,"2019-2020","020","Budget","Corporation Tax","Collections","None",657312.0
235,"2019-2020","020","Budget","Corporation Tax","Surcharge","None",73950.0
236,"2019-2020","020","Budget","Corporation Tax","Education Cess / Health and Education Cess","None",34738.0
237,"2019-2020","020","Budget","Corporation Tax","Penalties","None",""
238,"2019-2020","020","Budget","Corporation Tax","Interest Recoveries","None",""
239,"2019-2020","020","Budget","Corporation Tax","Tax on Distributed Profits of Domestic Companies","None",""
240,"2019-2020","020","Budget","Corporation Tax","Tax on Distributed Income to Unit Holders","None",""
241,"2019-2020","020","Budget","Corporation Tax","Miscellaneous Receipts","None",""
242,"2019-2020","021","Budget","Taxes on Income","Collections","None",495191.0
243,"2019-2020","021","Budget","Taxes on Income","Surcharge","None",39618.0
244,"2019-2020","021","Budget","Taxes on Income","Health and Education Cess","None",21391.0
245,"2019-2020","021","Budget","Taxes on Income","Penalties","None",""
246,"2019-2020","021","Budget","Taxes on Income","Interest Recoveries","None",""
247,"2019-2020","021","Budget","Taxes on Income","Tax Under Black Money","None",""
248,"2019-2020","021","Budget","Taxes on Income","Miscellaneous Receipts","None",""
249,"2019-2020","036","Budget","Taxes on Income","Banking Transaction Tax (BCTT)","None",""
250,"2019-2020","034","Budget","Taxes on Income","Security Transaction Tax","None",12800.0
251,"2019-2020","023","Budget","Taxes on Income","Hotel Receipts Tax","None",""
252,"2019-2020","024","Budget","Taxes on Income","Interest Tax","None",""
253,"2019-2020","026","Budget","Taxes on Income","Fringe Benefit Tax","None",""
254,"2019-2020","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","None",""
255,"2019-2020","031","Budget","Wealth Tax","Estate Duty","None",""
256,"2019-2020","032","Budget","Wealth Tax","Taxes on Wealth","None",""
257,"2019-2020","037","Budget","Customs","Import Duties","Basic Duties ",142940.0
258,"2019-2020","037","Budget","Customs","Import Duties","Additional Duty on Customs(CVD) ",""
259,"2019-2020","037","Budget","Customs","Import Duties","Special CV Duty ",""
260,"2019-2020","037","Budget","Customs","Import Duties","Additional Duty of Custom on High Speed Diesel Oil ",""
261,"2019-2020","037","Budget","Customs","Import Duties","National Calamity Contingent Duty ",545.0
262,"2019-2020","037","Budget","Customs","Import Duties","Education Cess ",""
263,"2019-2020","037","Budget","Customs","Import Duties","Secondary and Higher Education Cess ",""
264,"2019-2020","037","Budget","Customs","Import Duties","Social Welfare Surcharge ",10080.0
265,"2019-2020","037","Budget","Customs","Export Duty","Social Welfare Surcharge ",224.0
266,"2019-2020","037","Budget","Customs","Cesses on Exports","Social Welfare Surcharge ",315.0
267,"2019-2020","037","Budget","Customs","Other Receipts","Social Welfare Surcharge ",1800.0
268,"2019-2020","038","Budget","Union Excise Duties","Basic Excise Duties","Social Welfare Surcharge ",109046.0
269,"2019-2020","038","Budget","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Social Welfare Surcharge ",""
270,"2019-2020","038","Budget","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Social Welfare Surcharge ",""
271,"2019-2020","038","Budget","Union Excise Duties","National Calamity Contingent Duty","Social Welfare Surcharge ",1935.0
272,"2019-2020","038","Budget","Union Excise Duties","Special Additional Duty of Excise on Motor Spirit","Social Welfare Surcharge ",41000.0
273,"2019-2020","038","Budget","Union Excise Duties","Surcharge on Pan Masala and Tobacco Products","Social Welfare Surcharge ",""
274,"2019-2020","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Education Cess ",""
275,"2019-2020","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",""
276,"2019-2020","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Crude Oil ",21000.0
